id,label,depth
215,BWC-037-215@25:16.065,272.60016
216,BWC-037-216@25:45.675,272.600411
217,BWC-037-217@25:55.498,272.600586
218,BWC-037-218@25:55.672,272.600799
219,BWC-037-219@25:56.022,272.601024
220,BWC-037-220@25:56.187,272.60127
221,BWC-037-221@25:57.360,272.601579
222,BWC-037-222@25:57.533,272.601761
223,BWC-037-223@25:57.829,272.601954
224,BWC-037-224@25:57.999,272.602218
225,BWC-037-225@25:58.222,272.602468
226,BWC-037-226@26:30.725,272.602867
227,BWC-037-227@26:46.345,272.603019
228,BWC-037-228@26:46.519,272.603269
229,BWC-037-229@26:46.947,272.603519
230,BWC-037-230@26:47.099,272.603769
231,BWC-037-231@27:25.590,272.604019
232,BWC-037-232@27:25.760,272.604269
233,BWC-037-233@27:25.947,272.604519
234,BWC-037-234@27:26.492,272.604769
235,BWC-037-235@27:26.660,272.605019
236,BWC-037-236@27:26.836,272.605269
237,BWC-037-237@29:42.767,272.605519
238,BWC-037-238@29:42.950,272.605799
239,BWC-037-239@29:43.324,272.606048
240,BWC-037-240@29:43.494,272.606298
241,BWC-037-241@29:43.666,272.606548
242,BWC-037-242@29:44.587,272.606772
243,BWC-037-243@29:44.751,272.607078
244,BWC-037-244@29:46.914,272.607443
245,BWC-037-245@29:47.065,272.607693
246,BWC-037-246@29:47.368,272.607943
247,BWC-037-247@29:47.499,272.608193
248,BWC-037-248@29:47.655,272.608589
249,BWC-037-249@29:48.700,272.608858
250,BWC-037-250@29:48.829,272.609108
251,BWC-037-251@29:48.981,272.609358
252,BWC-037-252@29:49.149,272.609608
253,BWC-037-253@29:50.792,272.609858
254,BWC-037-254@29:50.908,272.610222
255,BWC-037-255@29:51.027,272.610553
256,BWC-037-256@29:51.139,272.610803
257,BWC-037-257@29:55.050,272.611053
258,BWC-037-258@29:55.162,272.611355
259,BWC-037-259@29:55.279,272.61175
260,BWC-037-260@29:55.556,272.612183
261,BWC-037-261@29:57.579,272.612579
262,BWC-037-262@29:57.767,272.612829
263,BWC-037-263@29:57.966,272.613187
264,BWC-037-264@29:58.156,272.613564
265,BWC-037-265@29:58.449,272.613814
266,BWC-037-266@29:58.588,272.614064
267,BWC-037-267@29:58.750,272.614314
268,BWC-037-268@29:58.912,272.614564
269,BWC-037-269@29:59.065,272.614814
270,BWC-037-270@29:59.224,272.615064
271,BWC-037-271@29:59.376,272.615314
272,BWC-037-272@29:59.524,272.615728
273,BWC-037-273@29:59.678,272.615978
274,BWC-037-274@29:59.834,272.616228
275,BWC-037-275@00:00.136,504.223819
276,BWC-037-276@00:00.273,504.224059
277,BWC-037-277@00:00.432,504.224299
278,BWC-037-278@00:00.571,504.224539
279,BWC-037-279@00:00.718,504.224779
280,BWC-037-280@00:00.851,504.225019
281,BWC-037-281@00:00.979,504.225259
282,BWC-037-282@00:01.108,504.225499
283,BWC-037-283@00:01.232,504.225739
284,BWC-037-284@00:01.361,504.226013
285,BWC-037-285@00:01.502,504.226195
286,BWC-037-286@00:01.629,504.226469
287,BWC-037-287@00:01.745,504.226709
288,BWC-037-288@00:01.862,504.226949
289,BWC-037-289@00:01.968,504.227189
290,BWC-037-290@00:02.067,504.227429
291,BWC-037-291@00:02.166,504.227703
292,BWC-037-292@00:02.570,504.227855
293,BWC-037-293@00:02.655,504.228114
294,BWC-037-294@00:02.767,504.228433
295,BWC-037-295@00:02.859,504.228673
296,BWC-037-296@00:02.955,504.228913
297,BWC-037-297@00:03.048,504.229153
298,BWC-037-298@00:03.148,504.229393
299,BWC-037-299@00:03.252,504.229633
300,BWC-037-300@00:03.354,504.229927
301,BWC-037-301@00:03.454,504.230167
302,BWC-037-302@00:03.552,504.230407
303,BWC-037-303@00:03.646,504.230647
304,BWC-037-304@00:03.741,504.230887
305,BWC-037-305@00:03.835,504.231127
306,BWC-037-306@00:03.933,504.231367
307,BWC-037-307@00:04.619,504.231559
308,BWC-037-308@00:04.741,504.231799
309,BWC-037-309@00:04.871,504.232039
310,BWC-037-310@00:05.009,504.232279
311,BWC-037-311@00:05.148,504.232519
312,BWC-037-312@00:05.278,504.232759
313,BWC-037-313@00:05.405,504.232999
314,BWC-037-314@00:05.541,504.233239
315,BWC-037-315@00:05.670,504.233479
316,BWC-037-316@00:05.799,504.233719
317,BWC-037-317@00:05.921,504.233959
318,BWC-037-318@00:06.047,504.234199
319,BWC-037-319@00:06.161,504.234439
320,BWC-037-320@00:06.261,504.234679
321,BWC-037-321@00:06.362,504.234919
322,BWC-037-322@00:06.468,504.235159
323,BWC-037-323@00:06.569,504.235399
324,BWC-037-324@00:06.676,504.235639
325,BWC-037-325@00:06.785,504.235869
326,BWC-037-326@00:06.907,504.236163
327,BWC-037-327@00:07.040,504.236343
328,BWC-037-328@00:07.159,504.236637
329,BWC-037-329@00:07.274,504.236877
330,BWC-037-330@00:07.392,504.237117
331,BWC-037-331@00:08.955,504.237357
332,BWC-037-332@00:09.050,504.237664
333,BWC-037-333@00:09.153,504.237919
334,BWC-037-334@00:09.257,504.238159
335,BWC-037-335@00:09.360,504.238399
336,BWC-037-336@00:36.084,504.238612
337,BWC-037-337@00:36.223,504.238967
338,BWC-037-338@00:36.373,504.239333
339,BWC-037-339@00:37.916,504.239634
340,BWC-037-340@00:38.080,504.239874
341,BWC-037-341@00:38.251,504.240114
342,BWC-037-342@00:38.525,504.240354
343,BWC-037-343@00:38.683,504.240594
344,BWC-037-344@00:38.846,504.240834
345,BWC-037-345@00:39.020,504.241074
346,BWC-037-346@00:39.291,504.241314
347,BWC-037-347@00:39.451,504.241554
348,BWC-037-348@00:39.621,504.241794
349,BWC-037-349@00:41.485,504.242034
350,BWC-037-350@00:41.609,504.242324
351,BWC-037-351@00:41.728,504.242624
352,BWC-037-352@00:41.848,504.242864
353,BWC-037-353@00:41.961,504.243104
354,BWC-037-354@00:48.035,504.243386
355,BWC-037-355@00:48.145,504.243626
356,BWC-037-356@00:48.927,504.243866
357,BWC-037-357@00:49.050,504.244106
358,BWC-037-358@00:49.172,504.244346
359,BWC-037-359@00:59.807,504.244691
360,BWC-037-360@00:59.960,504.244931
361,BWC-037-361@01:00.125,504.24527
362,BWC-037-362@01:01.050,504.24551
363,BWC-037-363@01:01.213,504.24575
364,BWC-037-364@01:01.381,504.24599
365,BWC-037-365@01:01.651,504.24623
366,BWC-037-366@01:01.806,504.24647
367,BWC-037-367@01:01.977,504.24671
368,BWC-037-368@01:02.151,504.24695
369,BWC-037-369@01:02.415,504.24727
370,BWC-037-370@01:05.185,504.247577
371,BWC-037-371@01:05.317,504.24782
372,BWC-037-372@01:05.515,504.248076
373,BWC-037-373@01:05.762,504.248421
374,BWC-037-374@01:06.025,504.24869
375,BWC-037-375@01:06.132,504.24893
376,BWC-037-376@01:18.395,504.249198
377,BWC-037-377@01:18.551,504.249518
378,BWC-037-378@01:18.711,504.249758
379,BWC-037-379@01:19.708,504.249998
380,BWC-037-380@01:19.907,504.250238
381,BWC-037-381@01:20.423,504.250507
382,BWC-037-382@01:20.598,504.250747
383,BWC-037-383@01:20.780,504.251092
384,BWC-037-384@01:21.076,504.251332
385,BWC-037-385@01:21.236,504.251572
386,BWC-037-386@01:21.403,504.251812
387,BWC-037-387@01:21.578,504.252052
388,BWC-037-388@01:21.802,504.252292
389,BWC-037-389@01:21.966,504.252532
390,BWC-037-390@01:22.140,504.252772
391,BWC-037-391@01:23.712,504.253028
392,BWC-037-392@01:23.873,504.253233
393,BWC-037-393@01:24.881,504.253552
394,BWC-037-394@01:25.073,504.253847
395,BWC-037-395@01:25.884,504.254064
396,BWC-037-396@01:26.013,504.25432
397,BWC-037-397@01:26.136,504.254563
398,BWC-037-398@01:26.261,504.254831
399,BWC-037-399@01:27.119,504.255049
400,BWC-037-400@01:33.769,504.255228
401,BWC-037-401@01:37.175,504.25542
402,BWC-037-402@01:37.325,504.255753
403,BWC-037-403@01:37.473,504.255993
404,BWC-037-404@01:37.620,504.256233
405,BWC-037-405@01:37.765,504.256473
406,BWC-037-406@01:37.908,504.256713
407,BWC-037-407@01:38.051,504.256879
408,BWC-037-408@01:38.196,504.257119
409,BWC-037-409@01:38.336,504.257359
410,BWC-037-410@01:38.481,504.257615
411,BWC-037-411@01:39.557,504.257807
412,BWC-037-412@01:39.714,504.25805
413,BWC-037-413@01:39.870,504.25828
414,BWC-037-414@01:40.027,504.25852
415,BWC-037-415@01:40.186,504.258814
416,BWC-037-416@01:40.349,504.25898
417,BWC-037-417@01:41.649,504.25922
418,BWC-037-418@01:41.773,504.25946
419,BWC-037-419@01:41.914,504.2597
420,BWC-037-420@01:42.063,504.25994
421,BWC-037-421@01:42.204,504.26018
422,BWC-037-422@01:42.348,504.26042
423,BWC-037-423@01:42.486,504.26066
424,BWC-037-424@01:42.624,504.2609
425,BWC-037-425@01:42.774,504.26114
426,BWC-037-426@01:42.912,504.26138
427,BWC-037-427@01:45.311,504.26162
428,BWC-037-428@01:45.452,504.26186
429,BWC-037-429@01:45.598,504.2621
430,BWC-037-430@01:45.737,504.26234
431,BWC-037-431@01:45.880,504.26258
432,BWC-037-432@01:46.020,504.26282
433,BWC-037-433@01:46.156,504.26306
434,BWC-037-434@01:46.291,504.2633
435,BWC-037-435@01:46.423,504.26354
436,BWC-037-436@01:46.554,504.26378
437,BWC-037-437@01:46.687,504.26402
438,BWC-037-438@01:46.820,504.26426
439,BWC-037-439@01:46.953,504.2645
440,BWC-037-440@01:47.087,504.26474
441,BWC-037-441@01:47.222,504.26498
442,BWC-037-442@01:47.356,504.26522
443,BWC-037-443@01:47.496,504.26546
444,BWC-037-444@01:47.641,504.265678
445,BWC-037-445@01:47.798,504.265918
